Year,ISO_Code,Countries, Economic Freedom Summary Index,Rank,Quartile,Size of Government,Legal Sys & Prop. Rights (Adj.),Sound Money,Freedom to trade internationally,Regulation
2022,NZL,New Zealand,8.39,4,1,6.39,9,8.83,8.94,8.78
2022,OMN,Oman,6.4,95,3,4.82,5.36,8.08,7.47,6.25
2022,PAK,Pakistan,5.62,134,4,8.04,3.63,4.72,5.97,5.72
2022,PAN,Panama,7.62,23,1,7.67,5.81,9.08,8.87,6.68
2022,PER,Peru,7.41,43,2,7.71,5.14,8.52,8.48,7.21
2022,PHL,Philippines,7.01,59,2,7.83,4.51,9.04,7.14,6.51
2022,PNG,Papua New Guinea,6.02,108,3,5.72,4.45,6.29,7.34,6.27
2022,POL,Poland,6.85,70,2,5.92,6.45,6.62,8.44,6.84
2022,PRT,Portugal,7.59,27,1,6.2,7.38,8.5,8.92,6.97
2022,PRY,Paraguay,6.98,62,2,8.09,4.35,8.45,7.4,6.62
2022,QAT,Qatar,6.71,78,2,5.82,5.43,7.67,8.39,6.22
2022,ROU,Romania,7.41,43,2,6.99,6.76,7.88,8.54,6.9
2022,RUS,Russian Federation,5.93,119,3,6.05,4.71,7.31,6.1,5.46
2022,RWA,Rwanda,6.45,92,3,4.94,5.92,7.12,7.52,6.75
2022,SAU,Saudi Arabia,7.03,58,2,6.38,6.7,8.65,6.95,6.48
2022,SDN,Sudan,4.11,163,4,8.04,2.03,1.25,5.24,3.99
2022,SEN,Senegal,5.99,110,3,7.03,4.15,5.8,6.85,6.09
2022,SGP,Singapore,8.55,2,1,7.32,8.4,8.71,9.56,8.73
2022,SLE,Sierra Leone,5.59,137,4,7.4,4.49,4.68,6.63,4.75
2022,SLV,El Salvador,7.01,59,2,8.44,3.93,8.71,7.98,6
2022,SOM,Somalia,5.95,116,3,8.7,1.63,8.76,6.39,4.27
2022,SRB,Serbia,6.7,79,2,6.23,5.45,6.7,8.06,7.06
2022,SUR,Suriname,5.46,141,4,6.69,4.28,3.7,6.63,6.01
2022,SVK,Slovak Republic,7.39,45,2,6.53,6.76,7.97,8.6,7.09
2022,SVN,Slovenia,7.14,54,2,5.14,6.94,8.4,8.45,6.78
2022,SWE,Sweden,7.61,25,1,4.87,8.33,8.7,8.71,7.45
2022,SWZ,Eswatini,5.42,142,4,5.25,3.06,7.72,5.65,5.41
2022,SYC,Seychelles,6.98,62,2,4.2,6.14,8.99,8.35,7.21
2022,SYR,Syrian Arab Republic,4.28,162,4,6.31,2.26,6.57,3.13,3.15
2022,TCD,Chad,5.05,151,4,7.54,2.45,5.66,5.23,4.37
2022,TGO,Togo,6.07,107,3,6.92,4.83,6.29,6.21,6.08
2022,THA,Thailand,6.94,65,2,6.87,5.22,8.98,7.08,6.52
2022,TJK,Tajikistan,6.46,90,3,5.78,4.07,9.08,7.19,6.18
2022,TLS,Timor-Leste,5.77,130,4,4.65,3.77,6.41,7.86,6.14
2022,TTO,Trinidad and Tobago,6.64,83,2,6.78,5.08,8.11,6.9,6.34
2022,TUN,Tunisia,5.94,118,3,5.3,4.51,7.38,6.68,5.81
2022,TUR,Türkiye,5.57,138,4,6.98,4.81,3.3,7.17,5.61
2022,TWN,Taiwan,7.71,19,1,7.47,7.35,8,8.2,7.53
2022,TZA,Tanzania,6.4,95,3,6.16,5.11,7.95,5.86,6.94
2022,UGA,Uganda,6.75,76,2,7.12,4.27,8.89,6.7,6.78
2022,UKR,Ukraine,5.12,150,4,5.83,4.37,4.68,6.05,4.67
2022,URY,Uruguay,7.04,57,2,6.45,5.83,8.16,7.99,6.78
2022,USA,United States,8.09,5,1,7.35,7.78,8.53,8.11,8.66
2022,VEN,"Venezuela, RB",3.02,165,4,4.5,2.29,0.74,5.03,2.54
2022,VNM,Vietnam,6.23,99,3,6.28,5.15,6.98,6.57,6.2
2022,YEM,"Yemen, Rep.",4.68,156,4,8.31,2.4,4.98,4.61,3.11
2022,ZAF,South Africa,6.65,81,2,6.17,5.78,7.6,6.96,6.73
2022,ZMB,Zambia,6.17,103,3,6.32,4.99,7.29,7.12,5.11
2022,ZWE,Zimbabwe,3.53,164,4,5.63,3.54,1.25,3.03,4.2
